DrugBank_ID,Name,SMILES,CAS_Number
DB00035,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,16679-58-6
DB00036,Coagulation factor VIIa Recombinant Human,,102786-61-8
DB00038,Oprelvekin,,145941-26-0
DB00039,Palifermin,,162394-19-6
DB00040,Glucagon,,16941-32-5
DB00041,Aldesleukin,,110942-02-4
DB00042,Botulinum toxin type B,,93384-44-2
DB00043,Omalizumab,,242138-07-4
DB00044,Lutropin alfa,,152923-57-4
DB00045,Lyme disease vaccine (recombinant OspA),,
DB00046,Insulin lispro,,133107-64-9
DB00047,Insulin glargine,,160337-95-1
DB00048,Collagenase clostridium histolyticum,,9001-12-1
DB00049,Rasburicase,,134774-45-1
DB00050,Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,120287-85-6
DB00051,Adalimumab,,331731-18-1
DB00052,Somatotropin,,12629-01-5
DB00053,Imiglucerase,,154248-97-2
DB00054,Abciximab,,143653-53-6
DB00054,Abciximab,,
DB00055,Drotrecogin alfa,,98530-76-8
DB00056,Gemtuzumab ozogamicin,,220578-59-6
DB00057,Indium In-111 satumomab pendetide,,138955-27-8
DB00058,Alpha-1-proteinase inhibitor,,9041-92-3
DB00059,Pegaspargase,,130167-69-0
DB00060,Interferon beta-1a,,145258-61-3
DB00061,Pegademase,,130167-68-9
DB00062,Albumin human,,9048-46-8
DB00063,Eptifibatide,,188627-80-7
DB00063,Eptifibatide,,
DB00065,Infliximab,,170277-31-3
DB00066,Follitropin,,146479-72-3
DB00067,Vasopressin,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,11000-17-2
DB00068,Interferon beta-1b,,145155-23-3
DB00069,Interferon alfacon-1,,118390-30-0
DB00070,Hyaluronidase (ovine),,488712-31-8
DB00071,Insulin pork,,12584-58-6
DB00072,Trastuzumab,,180288-69-1
DB00072,Trastuzumab,,
DB00073,Rituximab,,174722-31-7
DB00074,Basiliximab,,179045-86-4
DB00075,Muromonab,,140608-64-6
DB00076,Digoxin Immune Fab (Ovine),,
DB00078,Ibritumomab tiuxetan,,206181-63-7
DB00080,Daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,103060-53-3
DB00081,Tositumomab,,208921-02-2
DB00082,Pegvisomant,,218620-50-9
DB00083,Botulinum toxin type A,,93384-43-1
DB00085,Pancrelipase,,53608-75-6
DB00086,Streptokinase,,9002-01-1
DB00086,Streptokinase,,
DB01022,Phylloquinone,,
DB01373,Calcium,,
DB00087,Alemtuzumab,,216503-57-0
DB00088,Alglucerase,,143003-46-7
DB00089,Capromab pendetide,,145464-28-4
DB00090,Laronidase,,210589-09-6
DB00091,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,59865-13-3
DB00092,Alefacept,,222535-22-0
DB00093,Felypressin,,56-59-7
DB00094,Urofollitropin,,97048-13-0
DB00095,Efalizumab,,214745-43-4
DB00097,Choriogonadotropin alfa,,177073-44-8
DB00098,Antithymocyte immunoglobulin (rabbit),,308067-60-9
DB00099,Filgrastim,,121181-53-1
DB00100,Coagulation Factor IX (Recombinant),,181054-95-5
DB00102,Becaplermin,,165101-51-9
DB00103,Agalsidase beta,,
DB00104,Octreotide,,83150-76-9
DB00105,Interferon alfa-2b,,98530-12-2
DB00106,Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,183552-38-7
DB00107,Oxytocin,,50-56-6
DB00108,Natalizumab,,189261-10-7
DB00109,Enfuvirtide,,159519-65-0
DB00110,Palivizumab,,188039-54-5
DB00111,Daclizumab,,152923-56-3
DB00112,Bevacizumab,,216974-75-3
DB00112,Bevacizumab,,
DB00113,Technetium Tc-99m arcitumomab,,154361-49-6
DB00114,Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,54-47-7
DB00114,Pyridoxal phosphate,,
DB00119,Pyruvic acid,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00130,L-Glutamine,,
DB00131,Adenosine phosphate,,
DB00142,Glutamic acid,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00160,Alanine,,
DB00171,ATP,,
DB01373,Calcium,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB00114,Pyridoxal phosphate,,
DB00119,Pyruvic acid,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00130,L-Glutamine,,
DB00131,Adenosine phosphate,,
DB00142,Glutamic acid,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00160,Alanine,,
DB00171,ATP,,
DB01373,Calcium,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00118,Ademetionine,,
DB00119,Pyruvic acid,,
DB00125,Arginine,,
DB00131,Adenosine phosphate,,
DB00133,Serine,,
DB00134,Methionine,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00151,Cysteine,,
DB00157,NADH,,
DB00160,Alanine,,
DB00171,ATP,,
DB00855,Aminolevulinic acid,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB02083,"N,N-dimethylglycine",,
DB02751,Glycocyamine,,
DB02951,3-Hydroxypyruvic Acid,,
DB02957,Orotidylic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03587,Pyruvaldehyde,,
DB03843,Formaldehyde,,
DB03915,2-Amino-3-Ketobutyric Acid,,
DB03929,D-Serine,,
DB04160,Pyrophosphoric acid,,
DB04343,Glyoxylic acid,,
DB04522,Dexfosfoserine,,
DB04553,2-Oxobutanoic Acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00117,Histidine,,
DB00119,Pyruvic acid,,
DB00121,Biotin,,
DB00128,Aspartic acid,,
DB00130,L-Glutamine,,
DB00131,Adenosine phosphate,,
DB00133,Serine,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00157,NADH,,
DB00171,ATP,,
DB00174,Asparagine,,
DB01378,Magnesium cation,,
DB01971,trans-urocanic acid,,
DB03147,Flavin adenine dinucleotide,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00135,Tyrosine,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01592,Iron,,
DB03205,Pyrroloquinoline Quinone,,
DB00114,Pyridoxal phosphate,,
DB00121,Biotin,,
DB00131,Adenosine phosphate,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00161,Valine,,
DB00171,ATP,,
DB03107,beta-Alanine,,
DB03147,Flavin adenine dinucleotide,,
DB03688,Hydracrylic acid,,
DB03766,Propanoic acid,,
DB04160,Pyrophosphoric acid,,
DB04183,Methylmalonic Acid,,
DB04524,Malonyl-CoA,,
DB04553,2-Oxobutanoic Acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00151,Cysteine,,
DB00847,Cysteamine,,
DB01592,Iron,,
DB01956,Taurine,,
DB00114,Pyridoxal phosphate,,
DB00145,Glycine,,
DB00157,NADH,,
DB00855,Aminolevulinic acid,,
DB01592,Iron,,
DB01593,Zinc,,
DB02285,Protoporphyrin,,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03435,Uridine-5'-Diphosphate,,
DB04461,Coproporphyrinogen III,,
DB07780,Farnesyl diphosphate,,
DB00114,Pyridoxal phosphate,,
DB00131,Adenosine phosphate,,
DB00133,Serine,,
DB00160,Alanine,,
DB00171,ATP,,
DB00640,Adenosine,,
DB02345,Selenocysteine,,
DB04160,Pyrophosphoric acid,,
DB04553,2-Oxobutanoic Acid,,
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00117,Histidine,,
DB00118,Ademetionine,,
DB00131,Adenosine phosphate,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00171,ATP,,
DB01373,Calcium,,
DB01593,Zinc,,
DB01971,trans-urocanic acid,,
DB03107,beta-Alanine,,
DB03147,Flavin adenine dinucleotide,,
DB04151,1-Methylhistidine,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00157,NADH,,
DB00171,ATP,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01861,Uridine diphosphate glucose,,
DB03323,Maltose,,
DB03435,Uridine-5'-Diphosphate,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00119,Pyruvic acid,,
DB00121,Biotin,,
DB00128,Aspartic acid,,
DB00130,L-Glutamine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00143,Glutathione,,
DB00145,Glycine,,
DB00151,Cysteine,,
DB00157,NADH,,
DB00160,Alanine,,
DB00171,ATP,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,
DB01972,Guanosine-5'-Monophosphate,,
DB02530,gamma-Aminobutyric acid,,
DB03147,Flavin adenine dinucleotide,,
DB03408,gamma-Glutamylcysteine,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00121,Biotin,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00147,Pyridoxal,,
DB00149,Leucine,,
DB00157,NADH,,
DB00161,Valine,,
DB00167,Isoleucine,,
DB00171,ATP,,
DB01762,Acetoacetic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03229,alpha-Ketoisocaproic acid,,
DB04074,alpha-Ketoisovalerate,,
DB04183,Methylmalonic Acid,,
DB00114,Pyridoxal phosphate,,
DB00121,Biotin,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00147,Pyridoxal,,
DB00149,Leucine,,
DB00157,NADH,,
DB00161,Valine,,
DB00167,Isoleucine,,
DB00171,ATP,,
DB01762,Acetoacetic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03229,alpha-Ketoisocaproic acid,,
DB04074,alpha-Ketoisovalerate,,
DB04183,Methylmalonic Acid,,
DB00114,Pyridoxal phosphate,,
DB00121,Biotin,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00147,Pyridoxal,,
DB00149,Leucine,,
DB00157,NADH,,
DB00161,Valine,,
DB00167,Isoleucine,,
DB00171,ATP,,
DB01762,Acetoacetic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03229,alpha-Ketoisocaproic acid,,
DB04074,alpha-Ketoisovalerate,,
DB04183,Methylmalonic Acid,,
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00118,Ademetionine,,
DB00122,Choline,,
DB00131,Adenosine phosphate,,
DB00133,Serine,,
DB00134,Methionine,,
DB00145,Glycine,,
DB00151,Cysteine,,
DB00157,NADH,,
DB00171,ATP,,
DB00640,Adenosine,,
DB01345,Potassium cation,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB01917,Putrescine,,
DB02083,"N,N-dimethylglycine",,
DB02238,4-methylthio-2-oxobutanoic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03566,Spermidine,,
DB04160,Pyrophosphoric acid,,
DB04193,L-Homoserine,,
DB04553,2-Oxobutanoic Acid,,
DB00114,Pyridoxal phosphate,,
DB00123,Lysine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB03147,Flavin adenine dinucleotide,,
DB04207,L-Saccharopine,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00117,Histidine,,
DB00118,Ademetionine,,
DB00131,Adenosine phosphate,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00171,ATP,,
DB01373,Calcium,,
DB01593,Zinc,,
DB01971,trans-urocanic acid,,
DB03107,beta-Alanine,,
DB03147,Flavin adenine dinucleotide,,
DB04151,1-Methylhistidine,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB03147,Flavin adenine dinucleotide,,
DB03205,Pyrroloquinoline Quinone,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00123,Lysine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB03147,Flavin adenine dinucleotide,,
DB04207,L-Saccharopine,,
DB00114,Pyridoxal phosphate,,
DB00119,Pyruvic acid,,
DB00121,Biotin,,
DB00128,Aspartic acid,,
DB00130,L-Glutamine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00143,Glutathione,,
DB00145,Glycine,,
DB00151,Cysteine,,
DB00157,NADH,,
DB00160,Alanine,,
DB00171,ATP,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,
DB01972,Guanosine-5'-Monophosphate,,
DB02530,gamma-Aminobutyric acid,,
DB03147,Flavin adenine dinucleotide,,
DB03408,gamma-Glutamylcysteine,,
DB04160,Pyrophosphoric acid,,
DB00114,Pyridoxal phosphate,,
DB00133,Serine,,
DB00171,ATP,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB01861,Uridine diphosphate glucose,,
DB03381,Hexadecanal,,
DB03435,Uridine-5'-Diphosphate,,
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00125,Arginine,,
DB00128,Aspartic acid,,
DB00129,Ornithine,,
DB00131,Adenosine phosphate,,
DB00139,Succinic acid,,
DB00142,Glutamic acid,,
DB00145,Glycine,,
DB00148,Creatine,,
DB00155,Citrulline,,
DB00157,NADH,,
DB00171,ATP,,
DB00172,Proline,,
DB00360,Sapropterin,,
DB00435,Nitric Oxide,,
DB02577,Mesoheme,,
DB02751,Glycocyamine,,
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,
DB03147,Flavin adenine dinucleotide,,
DB03247,Flavin mononucleotide,,
DB03904,Urea,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB04388,4-Carboxy-4-Aminobutanal,,
DB00114,Pyridoxal phosphate,,
DB00120,Phenylalanine,,
DB00131,Adenosine phosphate,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00171,ATP,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01762,Acetoacetic acid,,
DB03147,Flavin adenine dinucleotide,,
DB03884,Phenylpyruvic acid,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00126,Ascorbic acid,,
DB00128,Aspartic acid,,
DB00131,Adenosine phosphate,,
DB00135,Tyrosine,,
DB00142,Glutamic acid,,
DB00157,NADH,,
DB00171,ATP,,
DB00360,Sapropterin,,
DB00368,Norepinephrine,,
DB00668,Epinephrine,,
DB00822,Disulfiram,,
DB00898,Ethanol,,
DB00988,Dopamine,,
DB01235,Levodopa,,
DB01373,Calcium,,
DB01378,Magnesium cation,,
DB01592,Iron,,
DB01593,Zinc,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,
DB01762,Acetoacetic acid,,
DB01828,Methylamine,,
DB02232,"1,2-Dihydroxybenzene",,
DB02577,Mesoheme,,
DB03147,Flavin adenine dinucleotide,,
DB03166,Acetic acid,,
DB03205,Pyrroloquinoline Quinone,,
DB04160,Pyrophosphoric acid,,
DB04299,Maleic acid,,
DB07718,4-Hydroxyphenylpyruvic acid,,
DB08327,Homogentisic acid,,
DB00114,Pyridoxal phosphate,,
DB00118,Ademetionine,,
DB00123,Lysine,,
DB00126,Ascorbic acid,,
DB00139,Succinic acid,,
DB00145,Glycine,,
DB00157,NADH,,
DB00583,Levocarnitine,,
DB01592,Iron,,
DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,68-19-9
DB00116,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,135-16-0
DB00114,Pyridoxal phosphate,,
DB00116,Tetrahydrofolic acid,,
DB00118,Ademetionine,,
DB00122,Choline,,
DB00131,Adenosine phosphate,,
DB00133,Serine,,
DB00134,Methionine,,
DB00145,Glycine,,
DB00151,Cysteine,,
DB00157,NADH,,
DB00171,ATP,,
DB00640,Adenosine,,
DB01345,Potassium cation,,
DB01378,Magnesium cation,,
DB01593,Zinc,,
DB01917,Putrescine,,
DB02083,"N,N-dimethylglycine",,
