DrugBank_ID,Name,SMILES,CAS_Number,MolecularWeight,LogP,NumHDonors,NumHAcceptors
DB00114,Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,54-47-7,247.143,0.5174199999999998,3,5
DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,68-19-9,1355.3879999999992,2.722220000000001,9,21
DB00116,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,135-16-0,445.43600000000015,-0.28199999999999925,8,9
DB00117,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O,71-00-1,155.15699999999998,-0.6359000000000001,3,3
DB00118,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,29908-03-0,398.4450000000001,-3.256899999999998,4,11
DB00119,Pyruvic acid,CC(=O)C(O)=O,127-17-3,88.06199999999998,-0.3399999999999999,1,2
DB00120,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,63-91-2,165.19199999999995,0.641,2,2
DB00121,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,58-85-5,244.316,0.7968,3,3
DB00122,Choline,C[N+](C)(C)CCO,62-49-7,104.17299999999999,-0.3150999999999999,1,1
DB00123,Lysine,NCCCC[C@H](N)C(O)=O,56-87-1,146.19,-0.4726999999999995,3,3
DB00125,Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,74-79-3,174.204,-1.338429999999999,5,3
DB00126,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,50-81-7,176.12399999999997,-1.4074,4,6
DB00127,Spermine,NCCCNCCCCNCCCN,71-44-3,202.34599999999995,-0.35659999999999775,4,4
DB00128,Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,56-84-8,133.10299999999998,-1.127,3,3
DB00129,Ornithine,NCCC[C@H](N)C(O)=O,70-26-8,132.16299999999998,-0.8627999999999991,3,3
DB00130,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,56-85-9,146.14600000000002,-1.3361999999999998,3,3
DB00131,Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,61-19-8,347.224,-1.8630000000000004,5,10
DB00132,alpha-Linolenic acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,463-40-1,278.4359999999999,5.660500000000005,1,1
DB00133,Serine,N[C@@H](CO)C(O)=O,56-45-1,105.09299999999999,-1.6094000000000002,3,3
DB00134,Methionine,CSCC[C@H](N)C(O)=O,63-68-3,149.215,0.1513999999999998,2,3
DB00135,Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,60-18-4,181.19099999999997,0.3466,3,3
DB00136,Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,32222-06-3,416.6460000000002,5.704700000000008,3,3
DB00137,Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,127-40-2,568.8860000000001,10.403299999999993,2,2
DB00138,Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,56-89-3,240.306,-0.8083999999999993,4,6
DB00139,Succinic acid,OC(=O)CCC(O)=O,110-15-6,118.088,-0.06419999999999987,2,2
DB00140,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,83-88-5,376.36900000000014,-1.7235599999999993,5,9
DB00141,N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,7512-17-6,221.209,-3.234999999999999,5,6
DB00142,Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,56-86-0,147.13,-0.7369000000000001,3,3
DB00143,Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,70-18-8,307.32800000000003,-2.2060999999999984,6,6
DB00144,Phosphatidyl serine,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,1446756-47-3,792.088999999999,11.50989999999999,3,9
DB00145,Glycine,NCC(O)=O,56-40-6,75.067,-0.9702999999999999,2,2
DB00146,Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,19356-17-3,400.6470000000002,6.733900000000008,2,2
DB00147,Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O,66-72-8,167.164,0.40041999999999983,2,4
DB00148,Creatine,CN(CC(O)=O)C(N)=N,57-00-1,131.135,-1.1037299999999988,3,2
DB00149,Leucine,CC(C)C[C@H](N)C(O)=O,61-90-5,131.17499999999998,0.44439999999999996,2,2
DB00150,Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,73-22-3,204.22899999999998,1.1223,3,2
DB00151,Cysteine,N[C@@H](CS)C(O)=O,52-90-4,121.16099999999997,-0.6719000000000002,3,3
DB00152,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,70-16-6,265.362,0.6077400000000001,2,5
DB00153,Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,50-14-6,396.65900000000016,7.641000000000009,1,1
DB00154,Dihomo-gamma-linolenic acid,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,1783-84-2,306.49,6.440700000000006,1,1
DB00155,Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O,372-75-8,175.18800000000002,-1.1531999999999991,4,3
DB00156,Threonine,C[C@@H](O)[C@H](N)C(O)=O,72-19-5,119.11999999999999,-1.2208999999999997,3,3
DB00157,NADH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,58-68-4,665.446,-2.6863999999999977,8,18
DB00158,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,59-30-3,441.4040000000002,-0.04479999999999951,6,9
DB00159,Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,10417-94-4,302.458,5.9927000000000055,1,1
DB00160,Alanine,C[C@H](N)C(O)=O,56-41-7,89.09399999999998,-0.5817999999999999,2,2
DB00161,Valine,CC(C)[C@H](N)C(O)=O,72-18-4,117.14799999999998,0.05430000000000007,2,2
DB00162,Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,68-26-8,286.459,5.510300000000005,1,1
DB00163,Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,59-02-9,430.71700000000027,8.840260000000002,1,2
DB00165,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1,65-23-6,169.18,0.0802199999999999,3,4
DB00166,Lipoic acid,OC(=O)CCCC[C@@H]1CCSS1,1200-22-2,206.332,2.7851000000000017,1,3
DB00167,Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,73-32-5,131.17499999999998,0.44439999999999996,2,2
DB00168,Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,22839-47-0,294.307,-0.31109999999999954,3,5
DB00169,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,67-97-0,384.64800000000014,7.6190000000000095,1,1
DB00170,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O,58-27-5,172.18299999999996,2.0119000000000002,0,2
DB00171,ATP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,56-65-5,507.1820000000001,-1.629000000000001,7,14
DB00172,Proline,OC(=O)[C@@H]1CCCN1,147-85-3,115.13200000000002,-0.177,2,2
DB00173,Adenine,NC1=C2NC=NC2=NC=N1,73-24-5,135.13,-0.0648999999999999,2,4
DB00174,Asparagine,N[C@@H](CC(N)=O)C(O)=O,70-47-3,132.119,-1.7263000000000002,3,3
DB00175,Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,81093-37-0,424.5340000000002,2.4404000000000003,4,6
DB00176,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,54739-18-3,318.339,3.201500000000001,1,4
DB00177,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,137862-53-4,435.5280000000002,4.161700000000002,2,5
DB00178,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,87333-19-5,416.5180000000002,2.3831999999999995,2,5
DB00179,Masoprocol,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,27686-84-6,302.37,3.5664000000000033,4,4
DB00180,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,3385-03-3,434.50400000000036,2.2747000000000006,2,6
DB00181,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,1134-47-0,213.664,1.857,2,2
DB00182,Amphetamine,CC(N)CC1=CC=CC=C1,300-62-9,135.20999999999998,1.5763,1,1
DB00183,Pentagastrin,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,5534-95-2,767.9060000000002,1.5202000000000044,8,9
DB00184,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1,54-11-5,162.23600000000002,1.8483,0,2
DB00185,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,107233-08-9,199.31899999999993,1.5602,0,3
DB00186,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,846-49-1,321.163,3.101300000000001,2,3
DB00187,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,81147-92-4,295.379,1.5298999999999996,2,5
DB00188,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,179324-69-7,384.24500000000006,0.36059999999999964,4,6
DB00189,Ethchlorvynol,CCC(O)(\C=C\Cl)C#C,113-18-8,144.601,1.5131999999999999,1,1
DB00190,Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,28860-95-9,226.232,-0.05310000000000015,5,5
DB00191,Phentermine,CC(C)(N)CC1=CC=CC=C1,122-09-8,149.237,1.9664,1,1
DB00192,Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,74517-78-5,308.425,3.2166000000000015,2,2
DB00193,Tramadol,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,27203-92-5,263.3809999999999,2.6346000000000007,1,3
DB00194,Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,24356-66-9,267.245,-1.9800000000000006,4,9
DB00195,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,63659-18-7,307.434,2.3933999999999997,2,4
DB00196,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,86386-73-4,306.276,0.7357999999999993,1,7
DB00197,Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,97322-87-7,441.54900000000015,4.374260000000004,2,6
DB00198,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,196618-13-0,312.41,1.2853999999999997,2,5
DB00199,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,114-07-8,733.9370000000001,1.785600000000004,5,14
DB00200,Hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],13422-51-0,1346.3769999999995,-0.21626000000000883,10,17
DB00201,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,58-08-2,194.194,-1.0293,0,6
DB00202,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,306-40-1,290.404,0.2654000000000025,0,4
DB00203,Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,139755-83-2,474.5870000000004,1.6109,1,8
DB00204,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,115256-11-6,441.57500000000016,1.9828999999999997,2,6
DB00205,Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,58-14-0,248.717,2.5238000000000005,2,4
DB00206,Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,50-55-5,608.6880000000002,4.171100000000003,1,10
DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,83905-01-5,748.996,1.9007000000000054,5,14
DB00208,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,55142-85-3,263.79299999999995,3.959800000000002,0,2
DB00209,Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,47608-32-2,392.51900000000023,3.769700000000003,1,3
DB00210,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,106685-40-9,412.5290000000003,6.681400000000005,1,2
DB00211,Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,42794-76-3,254.28599999999997,-0.1878999999999995,3,5
DB00212,Remikiren,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,126222-34-2,630.8520000000002,3.0962000000000023,5,7
DB00213,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,102625-70-7,383.37600000000003,2.8843000000000014,1,6
DB00214,Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,56211-40-6,348.42800000000005,2.5299200000000006,3,5
DB00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,59729-33-8,324.399,3.812980000000003,0,3
DB00216,Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,143322-58-1,382.52900000000005,3.8210000000000024,1,3
DB00217,Bethanidine,CN\C(NCC1=CC=CC=C1)=N/C,55-73-2,177.251,0.9813999999999993,2,1
DB00218,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,151096-09-2,401.4380000000002,2.3705,2,6
DB00219,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,14214-84-7,348.50700000000006,3.4841000000000015,1,3
DB00220,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,159989-64-7,567.7960000000002,4.747620000000004,4,6
DB00221,Isoetharine,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,79490-84-9,239.315,1.9077999999999995,4,4
DB00222,Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,93479-97-1,490.6260000000003,3.0740000000000016,3,5
DB00223,Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,2557-49-5,410.45700000000016,1.8437000000000001,3,5
DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,150378-17-9,613.8030000000002,2.866900000000002,4,7
DB00225,Gadodiamide,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O,131410-48-5,573.6610000000004,-7.365900000000009,2,11
DB00226,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1,40580-59-4,213.28099999999992,0.3355999999999997,2,3
DB00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,75330-75-5,404.54700000000025,4.195500000000004,1,5
DB00228,Enflurane,FC(F)OC(F)(F)C(F)Cl,13838-16-9,184.491,2.3528000000000002,0,1
DB00229,Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,61622-34-2,525.6420000000003,-0.6531999999999965,3,13
DB00230,Pregabalin,CC(C)C[C@H](CN)CC(O)=O,148553-50-8,159.229,1.0821,2,2
DB00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,846-50-4,300.745,2.4722,1,3
DB00232,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,135-07-9,360.24400000000014,0.5983000000000003,2,5
DB00233,Aminosalicylic acid,NC1=CC(O)=C(C=C1)C(O)=O,65-49-6,153.13699999999997,0.6726000000000001,3,3
DB00234,Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,71620-89-8,313.397,3.193800000000002,1,4
DB00235,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,78415-72-2,211.22400000000002,1.6169999999999998,1,3
DB00236,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,54-91-1,356.058,1.2272,0,2
DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,125-40-6,212.249,0.7948999999999999,2,3
DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,129618-40-2,266.304,2.6512200000000012,1,4
DB00239,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,64211-45-6,429.1340000000001,6.1178000000000035,0,4
DB00240,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,67452-97-5,408.9220000000002,2.0209,3,5
